nombre,ciudad,direccion,telefono,whatsapp,web,google_maps_url,estado
"Estética Buenos Aires","Buenos Aires","José Hernández 2431, C1426 EOQ, Cdad. Autónoma de Buenos Aires","0111524653507","0111524653507","http://www.esteticabuenosaires.com/","https://www.google.com/maps/place/Est%C3%A9tica+Buenos+Aires/data=!4m7!3m6!1s0x95bcb5d1b2c8ddf3:0x992fa607e3806f3d!8m2!3d-34.5657895!4d-58.4539611!16s%2Fg%2F11_ry7_89!19sChIJ893IstG1vJURPW-A4wemL5k?authuser=0&hl=es-419&rclk=1","PENDING"
"Esthetics One | Centro de Medicina Estética","Buenos Aires","Av. Juramento 1475 Piso 4 Dpto 9, C1428DMQ Cdad. Autónoma de Buenos Aires","0111564797224","0111564797224","https://centrodeestetica.ar/","https://www.google.com/maps/place/Esthetics+One+%7C+Centro+de+Medicina+Est%C3%A9tica/data=!4m7!3m6!1s0x95bcb5a89418a849:0x71bec80825bdb86!8m2!3d-34.5563416!4d-58.4476128!16s%2Fg%2F11s0sjy98k!19sChIJSagYlKi1vJURhttbgoDsGwc?authuser=0&hl=es-419&rclk=1","PENDING"
"Estética Belgrano","Buenos Aires","AAF, Av. Cabildo 2327 9A, C1428 C1428AAF, Cdad. Autónoma de Buenos Aires","01147867009","01147867009","http://www.esteticabelgrano.com.ar/","https://www.google.com/maps/place/Est%C3%A9tica+Belgrano/data=!4m7!3m6!1s0x95bcb59958c0db7b:0x9944a1ab6b4c78d1!8m2!3d-34.5597002!4d-58.4583984!16s%2Fg%2F11jk3ryqg7!19sChIJe9vAWJm1vJUR0XhMa6uhRJk?authuser=0&hl=es-419&rclk=1","PENDING"
"IDEAL - Centro de Estetica -","Buenos Aires","Vidal 2371, C1428 Cdad. Autónoma de Buenos Aires","01135978220","01135978220","http://www.esteticaideal.com/","https://www.google.com/maps/place/IDEAL+-+Centro+de+Estetica+-/data=!4m7!3m6!1s0x95bcb5d55a689b95:0xbf27f0688d92873a!8m2!3d-34.5615379!4d-58.4625139!16s%2Fg%2F11cn9gl2l7!19sChIJlZtoWtW1vJUROoeSjWjwJ78?authuser=0&hl=es-419&rclk=1","PENDING"
"Centro Médico List Belgrano","Buenos Aires","Av. Cabildo 642, C1426 Cdad. Autónoma de Buenos Aires","01147738121","01147738121","https://centromedicolist.ar/","https://www.google.com/maps/place/Centro+M%C3%A9dico+List+Belgrano/data=!4m7!3m6!1s0x95bcb5c6e336a561:0xf640aa1e375ca5ca!8m2!3d-34.57093!4d-58.4435992!16s%2Fg%2F11cn657j0g!19sChIJYaU248a1vJURyqVcNx6qQPY?authuser=0&hl=es-419&rclk=1","PENDING"
"Spa Belgrano Susana Noguera","Buenos Aires","Vuelta de Obligado 1551, C1426 Cdad. Autónoma de Buenos Aires","01150376028","01150376028","http://www.spabelgrano.com/","https://www.google.com/maps/place/Spa+Belgrano+Susana+Noguera/data=!4m7!3m6!1s0x95bcb5cfd7466d79:0x6cb11c57e1970761!8m2!3d-34.5658901!4d-58.4506627!16s%2Fg%2F1tgcbpwx!19sChIJeW1G18-1vJURYQeX4VccsWw?authuser=0&hl=es-419&rclk=1","PENDING"
"Estética Martínez Recoleta","Buenos Aires","Uruguay 1131, Recoleta, entre Avenida Santa Fe, Arenales y, C1016 Cdad. Autónoma de Buenos Aires","0111531254324","0111531254324","https://esteticamartinez.ar/","https://www.google.com/maps/place/Est%C3%A9tica+Mart%C3%ADnez+Recoleta/data=!4m7!3m6!1s0x95bccb24502564fb:0x144be412776eb4ae!8m2!3d-34.5954558!4d-58.3871167!16s%2Fg%2F11y4nz24cg!19sChIJ-2QlUCTLvJURrrRudxLkSxQ?authuser=0&hl=es-419&rclk=1","PENDING"
"Esteticiens","Buenos Aires","Ayacucho 1230 6to piso, C1111 Cdad. Autónoma de Buenos Aires","01152633590","01152633590","","https://www.google.com/maps/place/Esteticiens/data=!4m7!3m6!1s0x95bccac097b26ac1:0x6ffc11a6a8ab5a0f!8m2!3d-34.5942708!4d-58.3959062!16s%2Fg%2F11gfm_vwqp!19sChIJwWqyl8DKvJURD1qrqKYR_G8?authuser=0&hl=es-419&rclk=1","PENDING"
"Centro de Estética Vicenza","Buenos Aires","Vicente López 2240, C1125 Cdad. Autónoma de Buenos Aires","01148036302","01148036302","http://www.esteticavicenza.com/","https://www.google.com/maps/place/Centro+de+Est%C3%A9tica+Vicenza/data=!4m7!3m6!1s0x95bccb89456a95b1:0x6f0507b0eb72c489!8m2!3d-34.587477!4d-58.3957574!16s%2Fg%2F11jw6lzrbm!19sChIJsZVqRYnLvJURicRy67AHBW8?authuser=0&hl=es-419&rclk=1","PENDING"
"Dra Sofia Vazquez | Vazquez Dermatología","Buenos Aires","Av. Pres. Manuel Quintana 585, C1112 Cdad. Autónoma de Buenos Aires","01127279593","01127279593","https://drasofiavazquez.com.ar/","https://www.google.com/maps/place/Dra+Sofia+Vazquez+%7C+Vazquez+Dermatolog%C3%ADa/data=!4m7!3m6!1s0x95bccb87a2fba4e1:0xeec7a65ed050fd3e!8m2!3d-34.5876889!4d-58.3904321!16s%2Fg%2F11t7j8dp2j!19sChIJ4aT7oofLvJURPv1Q0F6mx-4?authuser=0&hl=es-419&rclk=1","PENDING"
"Kam Estética","Buenos Aires","Av. Sta. Fe 1984, C1425 Cdad. Autónoma de Buenos Aires","01140724128","01140724128","http://www.kamestetica.com/","https://www.google.com/maps/place/Kam+Est%C3%A9tica/data=!4m7!3m6!1s0x95bcca9624de17cf:0x92f51ae6adef307a!8m2!3d-34.5959618!4d-58.3957948!16s%2Fg%2F11dynbpv0f!19sChIJzxfeJJbKvJURejDvreYa9ZI?authuser=0&hl=es-419&rclk=1","PENDING"
"Medicina Estética - Dra. Erica Polonsky","Buenos Aires","Marcelo Torcuato de Alvear 2263 7 A/B, C1128 Buenos Aires","01165809248","01165809248","http://drapolonsky.com.ar/","https://www.google.com/maps/place/Medicina+Est%C3%A9tica+-+Dra.+Erica+Polonsky/data=!4m7!3m6!1s0x95bcca96b690461b:0xed21930f8ad9558a!8m2!3d-34.5966984!4d-58.399766!16s%2Fg%2F11f2wbxtn5!19sChIJG0aQtpbKvJURilXZig-TIe0?authuser=0&hl=es-419&rclk=1","PENDING"
"Dr Beauty Recoleta","Buenos Aires","Av. Pres. Manuel Quintana 492, C1129 Cdad. Autónoma de Buenos Aires","01130877847","01130877847","","https://www.google.com/maps/place/Dr+Beauty+Recoleta/data=!4m7!3m6!1s0x95bccb4d6c9d6f57:0xa2103b23e502bfde!8m2!3d-34.5885257!4d-58.3899324!16s%2Fg%2F11rv03nmpn!19sChIJV2-dbE3LvJUR3r8C5SM7EKI?authuser=0&hl=es-419&rclk=1","PENDING"
"BANEGAS ESTÉTICA MÉDICA","Buenos Aires","Arenales 1457 PB, C1061 Cdad. Autónoma de Buenos Aires","01140287659","01140287659","https://www.banegasesteticamedica.com.ar/","https://www.google.com/maps/place/BANEGAS+EST%C3%89TICA+M%C3%89DICA/data=!4m7!3m6!1s0x95bcca9ad8f4484b:0xe2daa08209ca2ab2!8m2!3d-34.5945817!4d-58.3880428!16s%2Fg%2F11ckqrjyxv!19sChIJS0j02JrKvJURsirKCYKg2uI?authuser=0&hl=es-419&rclk=1","PENDING"
"Cirujanos Plásticos - CEQ Del Plata","Buenos Aires","Av. Sta. Fe 3566 piso 11 B, C1425 BGX, Cdad. Autónoma de Buenos Aires","01159562823","01159562823","http://www.ceqdelplata.com.ar/","https://www.google.com/maps/place/Cirujanos+Pl%C3%A1sticos+-+CEQ+Del+Plata/data=!4m7!3m6!1s0x95bccbd4118473bb:0xf1e31dea78e31209!8m2!3d-34.586172!4d-58.41479!16s%2Fg%2F11gmdpdbmf!19sChIJu3OEEdTLvJURCRLjeOod4_E?authuser=0&hl=es-419&rclk=1","PENDING"
"MB estética y salud","Buenos Aires","Colpayo 52, C1405 Cdad. Autónoma de Buenos Aires","01132608220","01132608220","https://instagram.com/mbesteticaysalud?igshid=YmMyMTA2M2Y=","https://www.google.com/maps/place/MB+est%C3%A9tica+y+salud/data=!4m7!3m6!1s0x95bccb7acec8cc5d:0xa65003411e48daf9!8m2!3d-34.6193514!4d-58.4407229!16s%2Fg%2F11t9h_p4fn!19sChIJXczIznrLvJUR-dpIHkEDUKY?authuser=0&hl=es-419&rclk=1","PENDING"
"Estética Martínez (Caballito)","Buenos Aires","Guayaquil 210, C1424CAF Cdad. Autónoma de Buenos Aires","01126251822","01126251822","","https://www.google.com/maps/place/Est%C3%A9tica+Mart%C3%ADnez+%28Caballito%29/data=!4m7!3m6!1s0x95bccb54ab15cee1:0x3bdf9c29d715a49d!8m2!3d-34.6200485!4d-58.4314923!16s%2Fg%2F11t7288dpj!19sChIJ4c4Vq1TLvJURnaQV1ymc3zs?authuser=0&hl=es-419&rclk=1","PENDING"
"Estética Funcional Caballito","Buenos Aires","Av. Juan Bautista Alberdi 884, C1424 Cdad. Autónoma de Buenos Aires","01134441163","01134441163","http://www.esteticafuncional.com.ar/","https://www.google.com/maps/place/Est%C3%A9tica+Funcional+Caballito/data=!4m7!3m6!1s0x95bccbc917baf461:0x55934b65464a8af3!8m2!3d-34.6230631!4d-58.4404341!16s%2Fg%2F11n964qcyw!19sChIJYfS6F8nLvJUR84pKRmVLk1U?authuser=0&hl=es-419&rclk=1","PENDING"
"Flebella Medicina Estética","Buenos Aires","Otamendi 82 PB2, C1405 Cdad. Autónoma de Buenos Aires","0111568653898","0111568653898","https://flebella.com/","https://www.google.com/maps/place/Flebella+Medicina+Est%C3%A9tica/data=!4m7!3m6!1s0x95bcca4694a289ad:0xc9d8fa838f9573d9!8m2!3d-34.6153042!4d-58.4320981!16s%2Fg%2F1vcl4yv8!19sChIJrYmilEbKvJUR2XOVj4P62Mk?authuser=0&hl=es-419&rclk=1","PENDING"
"Medicina Estética - Dra. Erica Polonsky","Buenos Aires","C1424CEJ, Av. La Plata 213 Piso 2 Dpto A, C1184 Cdad. Autónoma de Buenos Aires","01169582010","01169582010","http://drapolonsky.com.ar/","https://www.google.com/maps/place/Medicina+Est%C3%A9tica+-+Dra.+Erica+Polonsky/data=!4m7!3m6!1s0x95bcca38c13515dd:0x5e16b60e471f0fa7!8m2!3d-34.6173248!4d-58.4289553!16s%2Fg%2F11bx851rds!19sChIJ3RU1wTjKvJURpw8fRw62Fl4?authuser=0&hl=es-419&rclk=1","PENDING"
"Dra. Maylen Aguirre Medicina Estética","Buenos Aires","Av. Acoyte 1288, C1414 Cdad. Autónoma de Buenos Aires","0111522585029","0111522585029","https://dramaylenaguirre.my.canva.site/?fbclid=PAVERFWARwnJNleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAaeFm9TmQ7_RubEUWsn1Y71p7qqjoNSFo8DHjcwx5-zPOc5YQBoQT9yHsF485A_aem_K_a0fR9nIo34-vtB7kKAgg","https://www.google.com/maps/place/Dra.+Maylen+Aguirre+Medicina+Est%C3%A9tica/data=!4m7!3m6!1s0x95bccb5455f648df:0x52f1329eae05014d!8m2!3d-34.6046267!4d-58.4418317!16s%2Fg%2F11z7dcfzhr!19sChIJ30j2VVTLvJURTQEFrp4y8VI?authuser=0&hl=es-419&rclk=1","PENDING"
"Bella Dermo Estética","Buenos Aires","Florida 259 depto 221, C1005 C1005ABF, Cdad. Autónoma de Buenos Aires","01157270828","01157270828","http://belladermo.wixsite.com/belladermo","https://www.google.com/maps/place/Bella+Dermo+Est%C3%A9tica/data=!4m7!3m6!1s0x95bccb70d9ae10e3:0xa2242468bed7c67e!8m2!3d-34.604973!4d-58.375011!16s%2Fg%2F11h6qk46p2!19sChIJ4xCu2XDLvJURfsbXvmgkJKI?authuser=0&hl=es-419&rclk=1","PENDING"
"Belle Body estética y bienestar centro de estética","Buenos Aires","Diego Palma 1423 of. 1, B1642 San Isidro, Provincia de Buenos Aires","01164445405","01164445405","http://www.esteticabellebody.com/","https://www.google.com/maps/place/Belle+Body+est%C3%A9tica+y+bienestar+centro+de+est%C3%A9tica/data=!4m7!3m6!1s0x95bcb02340876995:0x8ff78e089568d81b!8m2!3d-34.4791738!4d-58.5334872!16s%2Fg%2F11b5pkcjr1!19sChIJlWmHQCOwvJURG9holQiO948?authuser=0&hl=es-419&rclk=1","PENDING"
"Centro Estético Trigo - CET","Buenos Aires","Moreno 388, B1642 San Isidro, Provincia de Buenos Aires","01147429171","01147429171","https://centroesteticotrigo.com.ar/","https://www.google.com/maps/place/Centro+Est%C3%A9tico+Trigo+-+CET/data=!4m7!3m6!1s0x95bcb036d7ada257:0xad35ff04ba17fdcc!8m2!3d-34.4720898!4d-58.5171875!16s%2Fg%2F1tf5921t!19sChIJV6Kt1zawvJURzP0XugT_Na0?authuser=0&hl=es-419&rclk=1","PENDING"
"Belleza y Estética","Buenos Aires","Av. Andrés Rolón 142, B1642 San Isidro, Provincia de Buenos Aires","01147234185","01147234185","","https://www.google.com/maps/place/Belleza+y+Est%C3%A9tica/data=!4m7!3m6!1s0x95bcb04088da782b:0x6e87bff1ee868d38!8m2!3d-34.4806258!4d-58.5287404!16s%2Fg%2F11b70p_ffq!19sChIJK3jaiECwvJUROI2G7vG_h24?authuser=0&hl=es-419&rclk=1","PENDING"
"Peluquería y estética | Sentirse Amada","Buenos Aires","Maestro Santana 678, B1642 San Isidro, Provincia de Buenos Aires","0111551181385","0111551181385","","https://www.google.com/maps/place/Peluquer%C3%ADa+y+est%C3%A9tica+%7C+Sentirse+Amada/data=!4m7!3m6!1s0x95bcb1e1c03385cf:0xc49ce64c2c847b26!8m2!3d-34.4733611!4d-58.5264511!16s%2Fg%2F11mtrwwn44!19sChIJz4UzwOGxvJURJnuELEzmnMQ?authuser=0&hl=es-419&rclk=1","PENDING"
"ONIX sitio de estética","Buenos Aires","Av. Andrés Rolón 112, B1642 San Isidro, Provincia de Buenos Aires","01153084846","01153084846","https://www.facebook.com/onixsitiodeestetica/","https://www.google.com/maps/place/ONIX+sitio+de+est%C3%A9tica/data=!4m7!3m6!1s0x95bcb0408950c631:0xddcda2e2aa0af96a!8m2!3d-34.4808024!4d-58.5284658!16s%2Fg%2F11crv214jx!19sChIJMcZQiUCwvJURavkKquKizd0?authuser=0&hl=es-419&rclk=1","PENDING"
"Definit Depilacion Láser - San Isidro","Buenos Aires","Av. Juan Segundo Fernández 218, B1642AMQ San Isidro, Provincia de Buenos Aires","08009451250","08009451250","http://www.definit.com.ar/","https://www.google.com/maps/place/Definit+Depilacion+L%C3%A1ser+-+San+Isidro/data=!4m7!3m6!1s0x95bcb1edc4be8df7:0x8862b1593d4482b2!8m2!3d-34.4898625!4d-58.548213!16s%2Fg%2F11khmqptwn!19sChIJ942-xO2xvJURsoJEPVmxYog?authuser=0&hl=es-419&rclk=1","PENDING"
"New Corp Medicina Estética","Buenos Aires","Arenales 605, B1638 Vicente López, Provincia de Buenos Aires","01152275753","01152275753","http://www.newcorp.com.ar/","https://www.google.com/maps/place/New+Corp+Medicina+Est%C3%A9tica/data=!4m7!3m6!1s0x95bcb6ad4e8e3679:0xd9f42c66e585581a!8m2!3d-34.518595!4d-58.4754188!16s%2Fg%2F1yj4k435v!19sChIJeTaOTq22vJURGliF5WYs9Nk?authuser=0&hl=es-419&rclk=1","PENDING"
"Fimedical","Buenos Aires","Gaspar Campos 1027, B1638AVK Vicente López, Provincia de Buenos Aires","01147375533","01147375533","http://www.fimedical.com.ar/","https://www.google.com/maps/place/Fimedical/data=!4m7!3m6!1s0x95bcb6ae0a4f9797:0xca00d858f8e8fcaf!8m2!3d-34.5262751!4d-58.4764309!16s%2Fg%2F11b6zq43nm!19sChIJl5dPCq62vJURr_zo-FjYAMo?authuser=0&hl=es-419&rclk=1","PENDING"
"M.A Medicina Estética & Dermatología VL - Dra. M. Alcorta","Buenos Aires","Aristóbulo del Valle 1527, B1602 Florida, Provincia de Buenos Aires","0111558623678","0111558623678","https://mamedicinaestetica.com.ar/","https://www.google.com/maps/place/M.A+Medicina+Est%C3%A9tica+%26+Dermatolog%C3%ADa+VL+-+Dra.+M.+Alcorta/data=!4m7!3m6!1s0x95bcb728678e1b89:0x83f0f52fdf56b94c!8m2!3d-34.5365029!4d-58.4777414!16s%2Fg%2F11wqh968w3!19sChIJiRuOZyi3vJURTLlW3y_18IM?authuser=0&hl=es-419&rclk=1","PENDING"
"JUVENTYA Medicina Capilar","Buenos Aires","Av. Maipú 1565 2° Piso, B1602 Florida, Provincia de Buenos Aires","01157802528","01157802528","http://www.juventya.com/","https://www.google.com/maps/place/JUVENTYA+Medicina+Capilar/data=!4m7!3m6!1s0x95bcb106a28a5c9d:0x6cc8026a9a7430cf!8m2!3d-34.5232328!4d-58.4838022!16s%2Fg%2F11nnvjx443!19sChIJnVyKogaxvJURzzB0mmoCyGw?authuser=0&hl=es-419&rclk=1","PENDING"
"Clínica Ferrazzano Clínica Médica Estética y Centro Wellness","Buenos Aires","Dr. Eduardo Madero 1085 B1638AVK, B1638AVS Vicente López, Provincia de Buenos Aires","01132833794","01132833794","http://www.clinicaferrazzano.com/","https://www.google.com/maps/place/Cl%C3%ADnica+Ferrazzano+Cl%C3%ADnica+M%C3%A9dica+Est%C3%A9tica+y+Centro+Wellness/data=!4m7!3m6!1s0x95bcb777205e3421:0xb7d57363a48c9f04!8m2!3d-34.5251259!4d-58.4758952!16s%2Fg%2F11ffm59xz3!19sChIJITReIHe3vJURBJ-MpGNz1bc?authuser=0&hl=es-419&rclk=1","PENDING"
"Dra. Carolina Pereira Dermatología & Estética","Buenos Aires","Av maipu 1179, PISO 6 DTO C. VICENTE LOPEZ, B1638 Vte. Lopez, Provincia de Buenos Aires","01125073782","01125073782","http://www.dracarolinapereira.com.ar/","https://www.google.com/maps/place/Dra.+Carolina+Pereira+Dermatolog%C3%ADa+%26+Est%C3%A9tica/data=!4m7!3m6!1s0x95bcb1f15d36ad55:0xf84d0074f2cd7b2c!8m2!3d-34.5268033!4d-58.4816847!16s%2Fg%2F11j8z37spp!19sChIJVa02XfGxvJURLHvN8nQATfg?authuser=0&hl=es-419&rclk=1","PENDING"
"Dermatologia y Estetica","Buenos Aires","Nicolás Avellaneda 1085, B1602 Florida, Provincia de Buenos Aires","01130685926","01130685926","https://esteticavicentelopez.com.ar/","https://www.google.com/maps/place/Dermatologia+y+Estetica/data=!4m7!3m6!1s0x95bcb737988b2c23:0x6f193309e7571456!8m2!3d-34.5290598!4d-58.4836477!16s%2Fg%2F11l1_vphw7!19sChIJIyyLmDe3vJURVhRX5wkzGW8?authuser=0&hl=es-419&rclk=1","PENDING"
"Estética Funcional Flores","Buenos Aires","Cnel. Ramón L. Falcón 2230, C1406 Cdad. Autónoma de Buenos Aires","01144196934","01144196934","http://www.esteticafuncional.com.ar/","https://www.google.com/maps/place/Est%C3%A9tica+Funcional+Flores/data=!4m7!3m6!1s0x95bccb61e612d837:0x45a29832b9cf6ba4!8m2!3d-34.6295301!4d-58.4596322!16s%2Fg%2F11n25zjdkh!19sChIJN9gS5mHLvJURpGvPuTKYokU?authuser=0&hl=es-419&rclk=1","PENDING"
"MEF - Medicina Estética Flebológica","Buenos Aires","Fray Cayetano Rodríguez 45, C1406AVA Cdad. Autónoma de Buenos Aires","01131557988","01131557988","https://esteticamef.com.ar/","https://www.google.com/maps/place/MEF+-+Medicina+Est%C3%A9tica+Flebol%C3%B3gica/data=!4m7!3m6!1s0x95bcca2781d72273:0x554d36278efe2047!8m2!3d-34.6282889!4d-58.462786!16s%2Fg%2F12qfm65jz!19sChIJcyLXgSfKvJURRyD-jic2TVU?authuser=0&hl=es-419&rclk=1","PENDING"
"DM estética Flores","Buenos Aires","Lautaro 422, C1406DKJ Cdad. Autónoma de Buenos Aires","01136044940","01136044940","http://dmesteticaflores.com.ar/#!/categoria//pagina/1/","https://www.google.com/maps/place/DM+est%C3%A9tica+Flores/data=!4m7!3m6!1s0x95bccb7b809b6115:0xb7eeed6106cff894!8m2!3d-34.6321059!4d-58.4552826!16s%2Fg%2F11ppy2_py0!19sChIJFWGbgHvLvJURlPjPBmHt7rc?authuser=0&hl=es-419&rclk=1","PENDING"
"Estética Galicia centro de belleza","Buenos Aires","Av. Rivadavia 7614, C1406 Cdad. Autónoma de Buenos Aires","01170089003","01170089003","","https://www.google.com/maps/place/Est%C3%A9tica+Galicia+centro+de+belleza/data=!4m7!3m6!1s0x95bcc95bdb70b1eb:0x1ee126a4a8d412f9!8m2!3d-34.6316132!4d-58.4725022!16s%2Fg%2F11t5xn4yx5!19sChIJ67Fw21vJvJUR-RLUqKQm4R4?authuser=0&hl=es-419&rclk=1","PENDING"
"Beautyderm - Centro Médico Estético","Buenos Aires","Av. Rivadavia 6351, C1406 Cdad. Autónoma de Buenos Aires","48527878","48527878","http://www.beautyderm.com.ar/","https://www.google.com/maps/place/Beautyderm+-+Centro+M%C3%A9dico+Est%C3%A9tico/data=!4m7!3m6!1s0x95bccbae03f33efb:0x2e77b4f7b0e884ed!8m2!3d-34.6259155!4d-58.4562606!16s%2Fg%2F11h2hlnykf!19sChIJ-z7zA67LvJUR7YTosPe0dy4?authuser=0&hl=es-419&rclk=1","PENDING"
"Flebologia Buenos Aires | Sucursal Flores","Buenos Aires","Av. Coronel Esteban Bonorino 20, C1406DMB Cdad. Autónoma de Buenos Aires","01128677602","01128677602","http://www.flebologiabuenosaires.com.ar/","https://www.google.com/maps/place/Flebologia+Buenos+Aires+%7C+Sucursal+Flores/data=!4m7!3m6!1s0x95bcca265c459ae7:0xf354265e0d2820e6!8m2!3d-34.6282177!4d-58.4595532!16s%2Fg%2F1hdyxhb4m!19sChIJ55pFXCbKvJUR5iAoDV4mVPM?authuser=0&hl=es-419&rclk=1","PENDING"
