nombre,ciudad,pais,direccion,telefono,whatsapp,web,google_maps_url,estado
"SISO Dental Palermo","Buenos Aires","Argentina","Av. Sta. Fe 3205 Planta Baja 1, C1425EHI Cdad. Autónoma de Buenos Aires","01153657087","01153657087","http://www.sisodental.com.ar/","https://www.google.com/maps/place/SISO+Dental+Palermo/data=!4m7!3m6!1s0x95bccbd454968b71:0x5edb8143b68ef5a8!8m2!3d-34.5887098!4d-58.4103068!16s%2Fg%2F11gh72xxn3!19sChIJcYuWVNTLvJURqPWOtkOB214?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Dental Arcos - Odontología Palermo","Buenos Aires","Argentina","Fitz Roy 1988, C1414 Cdad. Autónoma de Buenos Aires","0111533403962","0111533403962","http://www.dentalarcos.com.ar/","https://www.google.com/maps/place/Dental+Arcos+-+Odontolog%C3%ADa+Palermo/data=!4m7!3m6!1s0x95bcb5d1a3341909:0xd63e9281a432d8c4!8m2!3d-34.5816943!4d-58.4337587!16s%2Fg%2F11gy4zzn7m!19sChIJCRk0o9G1vJURxNgypIGSPtY?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Psicólogo Leonel Dimitroff","Buenos Aires","Argentina","Eduardo Acevedo 11, C1914 Cdad. Autónoma de Buenos Aires","02213625667","02213625667","https://psidimitroff.com/","https://www.google.com/maps/place/Psic%C3%B3logo+Leonel+Dimitroff/data=!4m7!3m6!1s0x95bccb1ec153bf87:0xed6ed999eabed85b!8m2!3d-34.615466!4d-58.43066!16s%2Fg%2F11ys8y5nj_!19sChIJh79TwR7LvJURW9i-6pnZbu0?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Macropsicología Recoleta","Buenos Aires","Argentina","Av. Sta. Fe 1461, C1060 Cdad. Autónoma de Buenos Aires","0111555780960","0111555780960","http://www.macropsicologia.com.ar/","https://www.google.com/maps/place/Macropsicolog%C3%ADa+Recoleta/data=!4m7!3m6!1s0x95bccab939a828d9:0x4b49aec106c7cc65!8m2!3d-34.595612!4d-58.387927!16s%2Fg%2F1tkspk7k!19sChIJ2SioObnKvJURZczHBsGuSUs?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Psicóloga Marina Laurini Palermo Buenos Aires","Buenos Aires","Argentina","Vidt 1660, C1425 Cdad. Autónoma de Buenos Aires","03425196989","03425196989","https://www.instagram.com/psicmarinalaurini","https://www.google.com/maps/place/Psic%C3%B3loga+Marina+Laurini+Palermo+Buenos+Aires/data=!4m7!3m6!1s0x95bccbcb3d4f81eb:0x1f885228a57f1df2!8m2!3d-34.591495!4d-58.416488!16s%2Fg%2F11ypp9rmv3!19sChIJ64FPPcvLvJUR8h1_pShSiB8?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Lic Demian Lijtman Psicologo TCC - Cognitivo Conductual","Buenos Aires","Argentina","Av. Raúl Scalabrini Ortiz 1589, C1414 Cdad. Autónoma de Buenos Aires","01137937161","01137937161","https://www.demianlijtman.com/","https://www.google.com/maps/place/Lic+Demian+Lijtman+Psicologo+TCC+-+Cognitivo+Conductual/data=!4m7!3m6!1s0x6caa52942e0278dd:0xcb80133e4dcfd0c4!8m2!3d-34.591212!4d-58.4251785!16s%2Fg%2F11z358nc2t!19sChIJ3XgCLpRSqmwRxNDPTT4TgMs?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Psicólogos Sin Barreras","Buenos Aires","Argentina","República Árabe Siria 3065, C1425 Cdad. Autónoma de Buenos Aires","01141694821","01141694821","http://www.psicosinbarreras.com/","https://www.google.com/maps/place/Psic%C3%B3logos+Sin+Barreras/data=!4m7!3m6!1s0x95bcb5b1756bfad3:0xae9d07628b798d09!8m2!3d-34.5803499!4d-58.4131482!16s%2Fg%2F11rz40_h4c!19sChIJ0_prdbG1vJURCY15i2IHna4?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Psicoc - Psicología Terapia TCC Cognitivo conductual","Buenos Aires","Argentina","Av. Raúl Scalabrini Ortiz 2200-2102, C1425 C1425DBP, Cdad. Autónoma de Buenos Aires","01168717007","01168717007","https://www.facebook.com/Psicoterapia-Cognitivo-Conductual-Psicologos-UBA-490876908029535/","https://www.google.com/maps/place/Psicoc+-+Psicolog%C3%ADa+Terapia+TCC+Cognitivo+conductual/data=!4m7!3m6!1s0x95bcb56d6ab7d1df:0x71ee5d98f49e721c!8m2!3d-34.5875672!4d-58.4197987!16s%2Fg%2F11h7fmv4d6!19sChIJ39G3am21vJURHHKe9Jhd7nE?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Nutricionista Sofía Braticevic Culacciati @sofiabcnutricion","Buenos Aires","Argentina","José Andrés Pacheco de Melo 1967, C1113 Cdad. Autónoma de Buenos Aires","01160022103","01160022103","","https://www.google.com/maps/place/Nutricionista+Sof%C3%ADa+Braticevic+Culacciati+@sofiabcnutricion/data=!4m7!3m6!1s0x95bccb2d63100d03:0x3fae5e9164c73743!8m2!3d-34.591153!4d-58.394502!16s%2Fg%2F11fmbdg2fj!19sChIJAw0QYy3LvJURQzfHZJFerj8?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Consultorio Nutrición Energética","Buenos Aires","Argentina","C. Pres. Jose E. Uriburu 1690, C1114 Cdad. Autónoma de Buenos Aires","01155891975","01155891975","https://consultorionutricionenergetica.com/","https://www.google.com/maps/place/Consultorio+Nutrici%C3%B3n+Energ%C3%A9tica/data=!4m7!3m6!1s0x95bccbf6dc5b75d1:0x481b7e2b27d442c!8m2!3d-34.5894736!4d-58.3952396!16s%2Fg%2F11t71cdnk3!19sChIJ0XVb3PbLvJURLER9suK3gQQ?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Nutri Woda","Buenos Aires","Argentina","Azcuénaga 1077, C1122 Cdad. Autónoma de Buenos Aires","01180014002","01180014002","https://nutriwoda.com.ar/","https://www.google.com/maps/place/Nutri+Woda/data=!4m7!3m6!1s0x95bccb9d6d920e01:0x5cc4e3501bcabec2!8m2!3d-34.5956751!4d-58.3997912!16s%2Fg%2F11wbkksj68!19sChIJAQ6SbZ3LvJURwr7KG1DjxFw?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Espacio Nutridos","Buenos Aires","Argentina","Juncal 2151, C1125 Cdad. Autónoma de Buenos Aires","0111538277378","0111538277378","https://www.instagram.com/espacionutridos/","https://www.google.com/maps/place/Espacio+Nutridos/data=!4m7!3m6!1s0x95bccbd59c062e37:0xb7b60569cd6c1bd9!8m2!3d-34.5925778!4d-58.398157!16s%2Fg%2F11ycz3zqh8!19sChIJNy4GnNXLvJUR2RtszWkFtrc?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"NDA Nutrición en Acción","Buenos Aires","Argentina","Av. Sta. Fe 3192 2a, 1426 Cdad. Autónoma de Buenos Aires","0111568727555","0111568727555","https://www.nda.com.ar/","https://www.google.com/maps/place/NDA+Nutrici%C3%B3n+en+Acci%C3%B3n/data=!4m7!3m6!1s0x95bcb42aa6c4447f:0xba5177c5bf831ee1!8m2!3d-34.589287!4d-58.4100005!16s%2Fg%2F11clvdcf2q!19sChIJf0TEpiq0vJUR4R6Dv8V3Ubo?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Nutrición Denise Salcedo","Buenos Aires","Argentina","French 2940, C1425 Cdad. Autónoma de Buenos Aires","01123791210","01123791210","https://www.instagram.com/denusalcedo.nutricion?igsh=MWRvc2duZ2RlMmQzdg==","https://www.google.com/maps/place/Nutrici%C3%B3n+Denise+Salcedo/data=!4m7!3m6!1s0x95bcb5d87c15d49f:0xd2e1e797b6c6f7ef!8m2!3d-34.5877162!4d-58.4047706!16s%2Fg%2F11t_ymgr7h!19sChIJn9QVfNi1vJUR7_fGtpfn4dI?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Orthé Recoleta - Odontología Integral","Buenos Aires","Argentina","Av. Gral. Las Heras 2131, C1127 Cdad. Autónoma de Buenos Aires","01121634412","01121634412","http://www.orthe.com.ar/","https://www.google.com/maps/place/Orth%C3%A9+Recoleta+-+Odontolog%C3%ADa+Integral/data=!4m7!3m6!1s0x95bcca987d2fed27:0x1e10f39d127a15da!8m2!3d-34.5889995!4d-58.3950613!16s%2Fg%2F11f3xndzsv!19sChIJJ-0vfZjKvJUR2hV6Ep3zEB4?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Odontología Integral Recoleta","Buenos Aires","Argentina","AAG, de Bue Ciudad Autónoma de Buenos Aires AR, French 2411, C1125 Buenos Aires","01162990482","01162990482","https://odontologiaintegralrecoleta.com.ar/","https://www.google.com/maps/place/Odontolog%C3%ADa+Integral+Recoleta/data=!4m7!3m6!1s0x95bccb6fb2172d7b:0x4f5698ed82881e74!8m2!3d-34.5906555!4d-58.3993026!16s%2Fg%2F11ng0w7htm!19sChIJey0Xsm_LvJURdB6Igu2YVk8?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Centro Odontológico Recoleta","Buenos Aires","Argentina","Av. Sta. Fe 2521, C1015 Cdad. Autónoma de Buenos Aires","01158902338","01158902338","http://instagram.com/ratusnu_viviane","https://www.google.com/maps/place/Centro+Odontol%C3%B3gico+Recoleta/data=!4m7!3m6!1s0x95bccb004ef8a11b:0x2f00f1ae601b2be2!8m2!3d-34.5942212!4d-58.4027034!16s%2Fg%2F11zb3dfnjf!19sChIJG6H4TgDLvJUR4isbYK7xAC8?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Tu Sonrisa - odontología Especializada.","Buenos Aires","Argentina","Av. Sta. Fe 2755, C1425 Cdad. Autónoma de Buenos Aires","01139867665","01139867665","https://tusonrisargentina.com/","https://www.google.com/maps/place/Tu+Sonrisa+-+odontolog%C3%ADa+Especializada./data=!4m7!3m6!1s0x95bcca84dc2bf853:0xcf62801905805434!8m2!3d-34.5928006!4d-58.4055896!16s%2Fg%2F11f53sc83f!19sChIJU_gr3ITKvJURNFSABRmAYs8?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Junín Odontología","Buenos Aires","Argentina","Junín 1655 3A, C1113AAQ Cdad. Autónoma de Buenos Aires","01148034481","01148034481","http://www.juninodontologia.com.ar/","https://www.google.com/maps/place/Jun%C3%ADn+Odontolog%C3%ADa/data=!4m7!3m6!1s0x95bccaa295fa9393:0xd601c0620637747b!8m2!3d-34.5897213!4d-58.3934247!16s%2Fg%2F1thtfb4c!19sChIJk5P6laLKvJURe3Q3BmLAAdY?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Baires Odontología - Recoleta","Buenos Aires","Argentina","Av. Sta. Fe 2650, C1425BGO Cdad. Autónoma de Buenos Aires","01138510633","01138510633","https://www.bairesodontologia.com/","https://www.google.com/maps/place/Baires+Odontolog%C3%ADa+-+Recoleta/data=!4m7!3m6!1s0x95bccb21f8d63679:0xeec8ee42669f1b5c!8m2!3d-34.5937973!4d-58.4045077!16s%2Fg%2F11pz7_bbwt!19sChIJeTbW-CHLvJURXBufZkLuyO4?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Centro CIQO","Buenos Aires","Argentina","Cervantes 185, B1870 Avellaneda, Provincia de Buenos Aires","01165578477","01165578477","http://www.centrociqo.com/","https://www.google.com/maps/place/Centro+CIQO/data=!4m7!3m6!1s0x95a3339195d7870d:0x3f4fb276145791ca!8m2!3d-34.671113!4d-58.355994!16s%2Fg%2F11rd29jvnp!19sChIJDYfXlZEzo5URypFXFHayTz8?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Psicóloga en CABA y Recoleta Lic. Verónica Napoli","Buenos Aires","Argentina","Av. Callao 2050, C1024 Cdad. Autónoma de Buenos Aires","01134260131","01134260131","https://contactovnapoli.wixsite.com/psic/","https://www.google.com/maps/place/Psic%C3%B3loga+en+CABA+y+Recoleta+Lic.+Ver%C3%B3nica+Napoli/data=!4m7!3m6!1s0x95bccb096fb0344d:0xd8d9590b02ab6679!8m2!3d-34.5870153!4d-58.3866517!16s%2Fg%2F11wg8ty2nf!19sChIJTTSwbwnLvJUReWarAgtZ2dg?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Michelle D. Cameron. Clinical Psychologist in Buenos Aires, Argentina. Psicóloga Clínica en Buenos Aires (Recoleta).","Buenos Aires","Argentina","Juncal 2134, C1125 Cdad. Autónoma de Buenos Aires","01165442509","01165442509","https://michelledcameron.carrd.co/","https://www.google.com/maps/place/Michelle+D.+Cameron.+Clinical+Psychologist+in+Buenos+Aires,+Argentina.+Psic%C3%B3loga+Cl%C3%ADnica+en+Buenos+Aires+%28Recoleta%29./data=!4m7!3m6!1s0x95bccbe53cbcfbdd:0xdfc07e23ce9c6bee!8m2!3d-34.592996!4d-58.3977192!16s%2Fg%2F11pyc1mp09!19sChIJ3fu8POXLvJUR7mucziN-wN8?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Psicóloga en Recoleta","Buenos Aires","Argentina","Av. Sta. Fe 1731, C1123 Cdad. Autónoma de Buenos Aires","01144294260","01144294260","","https://www.google.com/maps/place/Psic%C3%B3loga+en+Recoleta/data=!4m7!3m6!1s0x95bccb0957ae72e1:0xaa07013a3165dc96!8m2!3d-34.5956298!4d-58.3923787!16s%2Fg%2F11h8n06ccw!19sChIJ4XKuVwnLvJURltxlMToBB6o?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Psicólogo Lic. Leandro Andrés Vega","Buenos Aires","Argentina","Paraná 1055, C1018 Cdad. Autónoma de Buenos Aires","01162766488","01162766488","https://psicologiaparatodos.ba/","https://www.google.com/maps/place/Psic%C3%B3logo+Lic.+Leandro+Andr%C3%A9s+Vega/data=!4m7!3m6!1s0x95bcb5466a6bc557:0x33c009e7b4ee5f79!8m2!3d-34.5963656!4d-58.3882232!16s%2Fg%2F11w4l2r8xw!19sChIJV8Vraka1vJUReV_utOcJwDM?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Psicólogo Cognitivo Conductual - Lic. Manuel Etcheverry - Recoleta, CABA","Buenos Aires","Argentina","Av. Sta. Fe 1984, C1123 Cdad. Autónoma de Buenos Aires","01150967896","01150967896","https://wa.me/5491150967896","https://www.google.com/maps/place/Psic%C3%B3logo+Cognitivo+Conductual+-+Lic.+Manuel+Etcheverry+-+Recoleta,+CABA/data=!4m7!3m6!1s0x95bccb6b42773ea1:0x83c7865c596a900d!8m2!3d-34.596027!4d-58.3956479!16s%2Fg%2F11wbz1cd4r!19sChIJoT53QmvLvJURDZBqWVyGx4M?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Óptimo Rendimiento Deportivo, Nutricionista Deportivo, Antropometría, Plan Alimentario Personalizado","Buenos Aires","Argentina","Av. Cabildo 2287 Piso 1 depto 7, C1428 Autónoma De Buenos Aires, Cdad. Autónoma de Buenos Aires","01140980673","01140980673","https://optimorendimiento-deportivo.com.ar/","https://www.google.com/maps/place/%C3%93ptimo+Rendimiento+Deportivo,+Nutricionista+Deportivo,+Antropometr%C3%ADa,+Plan+Alimentario+Personalizado/data=!4m7!3m6!1s0x95bcca6ca0a7d2d1:0x7362e0a61933259a!8m2!3d-34.560175!4d-58.457951!16s%2Fg%2F11c2qr_430!19sChIJ0dKnoGzKvJURmiUzGabgYnM?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Javier Rodriguez Centro de Nutrición","Buenos Aires","Argentina","Moldes 2175, C1428CRG Cdad. Autónoma de Buenos Aires","01158905825","01158905825","","https://www.google.com/maps/place/Javier+Rodriguez+Centro+de+Nutrici%C3%B3n/data=!4m7!3m6!1s0x95bcb52d144c2d5b:0xd22022857ba3f473!8m2!3d-34.5629361!4d-58.4599977!16s%2Fg%2F11qrq_2_sg!19sChIJWy1MFC21vJURc_Sje4UiINI?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"NRD Nutrición","Buenos Aires","Argentina","Av. Crámer 2590 6 D, C1428 Cdad. Autónoma de Buenos Aires","01138301073","01138301073","http://www.nrd-nutriciondeportiva.com/","https://www.google.com/maps/place/NRD+Nutrici%C3%B3n/data=!4m7!3m6!1s0x95bcb784d8e02d67:0xf922b68af1a290!8m2!3d-34.5604819!4d-58.4651447!16s%2Fg%2F11q9s6s381!19sChIJZy3g2IS3vJURkKLxirYi-QA?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Centro Mi Nutricion","Buenos Aires","Argentina","Franklin D. Roosevelt 2524, C1428 Cdad. Autónoma de Buenos Aires","0111531937861","0111531937861","","https://www.google.com/maps/place/Centro+Mi+Nutricion/data=!4m7!3m6!1s0x95bcb53596a73807:0x75c5d9a611fbaf3a!8m2!3d-34.558365!4d-58.4617129!16s%2Fg%2F11t1c4h41p!19sChIJBzinljW1vJUROq_7EabZxXU?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Acquafresca Nutrición","Buenos Aires","Argentina","Av. Cabildo 2847 Piso 6 Of 602, B1428AAK Cdad. Autónoma de Buenos Aires","0111559340096","0111559340096","http://www.acquafrescanutricion.com/","https://www.google.com/maps/place/Acquafresca+Nutrici%C3%B3n/data=!4m7!3m6!1s0x95bcb42a1e04f0fb:0x6e9e6b6264235ab3!8m2!3d-34.5557111!4d-58.4616273!16s%2Fg%2F11g81t80ws!19sChIJ-_AEHiq0vJURs1ojZGJrnm4?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Lic. Alicia Crocco","Buenos Aires","Argentina","Amenábar 1870, C1428 Cdad. Autónoma de Buenos Aires","01147875941","01147875941","http://www.alimentatuvida.com/","https://www.google.com/maps/place/Lic.+Alicia+Crocco/data=!4m7!3m6!1s0x95bcb55b9925f0d7:0xf682ddf2131b3dde!8m2!3d-34.5654483!4d-58.4568587!16s%2Fg%2F11j0j5hhxp!19sChIJ1_AlmVu1vJUR3j0bE_LdgvY?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"RIE Odontología","Buenos Aires","Argentina","Andonaegui 2485 6to B 2483, 1431 Buenos Aires","0111559656255","0111559656255","https://instagram.com/rieodontologia.ok?igshid=YmMyMTA2M2Y=","https://www.google.com/maps/place/RIE+Odontolog%C3%ADa/data=!4m7!3m6!1s0x95bcb73b60ff887b:0x25854b0b42aa7282!8m2!3d-34.575675!4d-58.490184!16s%2Fg%2F11swd3vy3v!19sChIJe4j_YDu3vJURgnKqQgtLhSU?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Odontología Dra. Alejandra Scava Belgrano","Buenos Aires","Argentina","Manuel Ugarte 2179, C1428 Cdad. Autónoma de Buenos Aires","01124868254","01124868254","https://odontologiascava.com/","https://www.google.com/maps/place/Odontolog%C3%ADa+Dra.+Alejandra+Scava+Belgrano/data=!4m7!3m6!1s0x95bcb50ee9092e05:0x219723f2374a5d92!8m2!3d-34.555042!4d-58.4593585!16s%2Fg%2F11q1pm4g2x!19sChIJBS4J6Q61vJURkl1KN_IjlyE?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"DemiDent Odontologia y Ortodoncia","Buenos Aires","Argentina","Juramento 2550, C1428 Cdad. Autónoma de Buenos Aires","01173603710","01173603710","https://demident.com.ar/","https://www.google.com/maps/place/DemiDent+Odontologia+y+Ortodoncia/data=!4m7!3m6!1s0x95bcb73bd91ef5c7:0x70adee88998f53de!8m2!3d-34.5630238!4d-58.4579374!16s%2Fg%2F11h_w5575n!19sChIJx_Ue2Tu3vJUR3lOPmYjurXA?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
